179, 62, 20, 24, 52,
191, 62, 36, 100, 140,
203, 62, 120, 156, 200,
215, 62, 176, 220, 248,
40, 63, 4, 28, 64,
56, 63, 108, 120, 172,
68, 63, 4, 12, 60,
81, 63, 8, 56, 92,
93, 63, 20, 28, 60,
105, 63, 8, 68, 136,
117, 63, 76, 128, 208,
129, 63, 92, 156, 220,
141, 63, 56, 84, 168,
153, 63, 24, 60, 84,
167, 63, 36, 100, 140,
179, 63, 24, 32, 76,
191, 63, 76, 128, 208,
203, 63, 20, 24, 60,
215, 63, 108, 124, 140,
39, 64, 52, 76, 140,
54, 64, 24, 60, 112,
66, 64, 52, 92, 112,
79, 64, 12, 24, 56,
91, 64, 80, 128, 172,
103, 64, 92, 152, 236,
115, 64, 68, 156, 228,
127, 64, 108, 180, 220,
139, 64, 68, 156, 228,
152, 64, 96, 152, 172,
165, 64, 108, 180, 220,
177, 64, 96, 156, 200,
189, 64, 68, 156, 228,
201, 64, 96, 156, 200,
213, 64, 80, 128, 172,
39, 65, 92, 156, 220,
52, 65, 4, 20, 52,
64, 65, 128, 204, 228,
76, 65, 4, 20, 52,
88, 65, 108, 180, 220,
100, 65, 68, 156, 228,
112, 65, 92, 156, 220,
124, 65, 84, 196, 244,
136, 65, 84, 196, 244,
148, 65, 24, 24, 56,
161, 65, 4, 20, 52,
173, 65, 68, 156, 228,
185, 65, 92, 156, 220,
197, 65, 120, 156, 200,
209, 65, 80, 192, 216,
37, 66, 32, 84, 108,
49, 66, 12, 20, 52,
61, 66, 92, 168, 240,
73, 66, 36, 100, 140,
85, 66, 128, 204, 248,
97, 66, 92, 168, 240,
109, 66, 12, 24, 60,
121, 66, 8, 56, 92,
133, 66, 68, 152, 184,
145, 66, 24, 24, 56,
157, 66, 20, 24, 52,
169, 66, 128, 204, 248,
181, 66, 20, 40, 60,
193, 66, 8, 56, 92,
205, 66, 12, 12, 52,
217, 66, 8, 36, 68,
43, 67, 68, 156, 228,
56, 67, 4, 28, 64,
68, 67, 12, 24, 56,
80, 67, 108, 204, 232,
92, 67, 96, 156, 200,
104, 67, 12, 24, 60,
116, 67, 128, 228, 240,
128, 67, 152, 244, 248,
140, 67, 172, 244, 248,
152, 67, 220, 252, 252,
164, 67, 52, 76, 140,
176, 67, 12, 32, 52,
188, 67, 128, 204, 248,
200, 67, 72, 116, 148,
214, 67, 4, 24, 60,
41, 68, 92, 168, 240,
56, 68, 12, 24, 60,
68, 68, 32, 16, 56,
80, 68, 108, 204, 232,
92, 68, 200, 248, 252,
104, 68, 20, 24, 52,
117, 68, 152, 244, 248,
129, 68, 192, 248, 248,
141, 68, 128, 184, 204,
153, 68, 184, 236, 252,
165, 68, 4, 20, 52,
177, 68, 12, 24, 56,
189, 68, 128, 228, 240,
201, 68, 16, 20, 40,
214, 68, 72, 96, 112,
42, 69, 84, 196, 244,
54, 69, 20, 16, 32,
66, 69, 24, 60, 112,
78, 69, 152, 244, 248,
90, 69, 96, 152, 172,
102, 69, 24, 32, 76,
114, 69, 208, 252, 252,
126, 69, 12, 28, 76,
138, 69, 192, 248, 248,
151, 69, 212, 252, 252,
163, 69, 20, 24, 52,
175, 69, 192, 220, 232,
187, 69, 200, 248, 252,
200, 69, 20, 12, 48,
215, 69, 24, 44, 84,
40, 70, 128, 204, 228,
55, 70, 16, 16, 28,
67, 70, 32, 84, 108,
79, 70, 152, 244, 248,
91, 70, 192, 248, 248,
103, 70, 20, 24, 52,
115, 70, 192, 248, 248,
127, 70, 36, 60, 88,
139, 70, 184, 248, 248,
151, 70, 200, 240, 252,
165, 70, 24, 24, 56,
177, 70, 52, 76, 108,
189, 70, 192, 248, 248,
203, 70, 16, 20, 36,
216, 70, 20, 40, 60,
40, 71, 148, 224, 248,
53, 71, 20, 24, 36,
65, 71, 148, 224, 248,
77, 71, 164, 228, 248,
89, 71, 128, 204, 248,
101, 71, 24, 16, 76,
113, 71, 80, 128, 172,
125, 71, 20, 16, 60,
137, 71, 184, 236, 252,
149, 71, 124, 168, 228,
162, 71, 20, 32, 44,
174, 71, 148, 192, 204,
186, 71, 120, 156, 200,
199, 71, 20, 20, 40,
211, 71, 176, 220, 248,
35, 72, 108, 180, 220,
47, 72, 144, 176, 236,
61, 72, 4, 24, 60,
73, 72, 144, 204, 236,
85, 72, 8, 16, 92,
97, 72, 108, 180, 244,
109, 72, 12, 20, 52,
121, 72, 4, 28, 76,
133, 72, 96, 152, 172,
145, 72, 4, 28, 76,
157, 72, 80, 128, 172,
169, 72, 20, 28, 60,
181, 72, 20, 24, 60,
193, 72, 20, 40, 60,
206, 72, 20, 24, 44,
219, 72, 12, 32, 52,
43, 73, 20, 28, 60,
56, 73, 20, 24, 48,
68, 73, 56, 84, 168,
80, 73, 48, 48, 112,
92, 73, 24, 60, 112,
104, 73, 24, 24, 56,
116, 73, 52, 76, 140,
128, 73, 128, 184, 224,
140, 73, 32, 84, 108,
152, 73, 80, 128, 172,
164, 73, 20, 24, 60,
176, 73, 32, 84, 168,
188, 73, 36, 56, 156,
200, 73, 16, 20, 36,
212, 73, 52, 76, 108,
35, 74, 24, 40, 112,
47, 74, 80, 128, 172,
60, 74, 20, 20, 44,
72, 74, 24, 24, 92,
84, 74, 28, 76, 140,
96, 74, 76, 112, 200,
108, 74, 12, 20, 52,
120, 74, 44, 116, 168,
132, 74, 128, 192, 244,
144, 74, 96, 156, 200,
156, 74, 128, 184, 204,
168, 74, 24, 32, 76,
180, 74, 80, 128, 172,
192, 74, 68, 152, 184,
204, 74, 12, 20, 52,
216, 74, 52, 76, 140,
38, 75, 52, 76, 140,
50, 75, 12, 20, 32,
62, 75, 12, 24, 60,
74, 75, 4, 20, 52,
86, 75, 28, 76, 140,
98, 75, 92, 152, 236,
110, 75, 12, 24, 56,
122, 75, 24, 32, 76,
